month,airline,count(1)
1,MQ,29900
1,F9,6829
1,WN,100042
1,HA,6440
1,EV,49925
1,US,33489
1,UA,38395
1,AA,44059
1,OO,48114
1,NK,8743
1,B6,21623
1,AS,13257
1,DL,64421
1,VX,4731
2,AS,12194
2,UA,36235
2,NK,8089
2,AA,39835
2,MQ,26940
2,DL,60884
2,F9,5809
2,HA,5779
2,WN,90172
2,EV,45138
2,US,30153
2,VX,4223
2,OO,43989
2,B6,19751
3,B6,22590
3,MQ,28146
3,WN,109245
3,US,34516
3,DL,74166
3,VX,4873
3,AS,14276
3,UA,43603
3,EV,54190
3,F9,6950
3,AA,45966
3,OO,50078
3,NK,9400
3,HA,6313
4,F9,7148
4,B6,22020
4,EV,49296
4,NK,9496
4,AA,44770
4,OO,49329
4,US,32496
4,AS,13974
4,MQ,25695
4,WN,106407
4,VX,4915
4,HA,6093
4,UA,41342
4,DL,72170
5,NK,10051
5,DL,74815
5,WN,107702
5,HA,6434
5,US,33761
5,F9,8118
5,UA,44411
5,MQ,25431
5,OO,49864
5,VX,5236
5,EV,49213
5,AS,14682
5,B6,22565
5,AA,44710
6,AS,15075
6,F9,7893
6,MQ,25407
6,US,34300
6,AA,44360
6,UA,46084
6,WN,109776
6,EV,49119
6,OO,50307
6,B6,22558
6,NK,9826
6,HA,6677
6,DL,77255
6,VX,5260
7,HA,6955
7,OO,52627
7,NK,10351
7,F9,8090
7,MQ,24750
7,UA,46478
7,EV,50381
7,B6,24029
7,DL,80741
7,WN,113650
7,VX,5411
7,AS,15821
7,AA,81434
8,F9,8142
8,AA,79748
8,NK,10432
8,WN,108179
8,OO,52730
8,DL,80947
8,MQ,23881
8,VX,5688
8,HA,6901
8,UA,45413
8,EV,48554
8,AS,16095
8,B6,23826
9,MQ,21202
9,DL,72063
9,WN,100645
9,NK,9948
9,B6,21133
9,AA,73379
9,AS,14271
9,VX,5154
9,F9,7873
9,OO,47625
9,EV,43721
9,UA,41778
9,HA,6154
10,AA,77290
10,EV,45728
10,B6,21913
10,MQ,21982
10,VX,5464
10,WN,104516
10,AS,14467
10,DL,75552
10,F9,8101
10,OO,48808
10,NK,10208
10,HA,6242
10,UA,45894
11,HA,6024
11,EV,42572
11,WN,104045
11,MQ,20305
11,DL,72228
11,F9,7763
11,NK,10164
11,AS,13950
11,AA,73871
11,VX,5414
11,OO,47292
11,UA,42647
11,B6,21697
12,MQ,20993
12,DL,70639
12,HA,6260
12,EV,44140
12,AA,76562
12,NK,10671
12,F9,8120
12,UA,43443
12,OO,47590
12,WN,107476
12,AS,14459
12,B6,23343
12,VX,5534
